product_title,brand,manufacturer,category,breadcrumbs,product_type,product_url,sku,article_number,model,ean_gtin,short_description,description,technical_data,specifications,power,watt,kW,kWh,voltage,current,dimensions,weight,warranty,price,currency,availability,stock_status,image_urls,variants,accessories,related_products,meta_title,meta_description,language,source_status,notes
404,,,,,,https://shop.tritec-energy.com/de/aeg-as-m3057-s-g12-420-hv-shingled-black-frame-p2523/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
"AIKO Neostar 2P A465-MAH54Mw Mono-Glas, 15 Jahre Produktgarantie",,,,,,https://shop.tritec-energy.com/de/aiko-neostar-2p-a465-mah54mw-bf-mono-glass-p2524/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/420266_0106845-catalog-trienergy-solutions.png|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/420266_0106845-catalog-trienergy-solutions.png|https://shop.tritec-energy.com/userdata/dcshop/filter_icon/724816_aiko.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,AIKO Neostar 2P A465- MAH54Mw BF Mono-Glass - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/fox-ess-wechselrichter-t3-g3-inkl-wifi-dongle-p2526/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/fox-ess-wechselrichter-t17-g3-inkl-wifi-dongle-p2527/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
"Meyer Burger White 390W - (FB, R35, GV)",,,,,,https://shop.tritec-energy.com/de/meyer-burger-white-390w-fb-r35-gv-p2534/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/47494_meyer_burger_white-400x491.png|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/47494_meyer_burger_white-400x491.png|https://shop.tritec-energy.com/userdata/dcshop/filter_icon/79788_meyerburger.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"Meyer Burger Meyer Burger White 390W - (FB, R35, GV) - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
"EGing EG-405M54-HLV BF, MC4",,,,,,https://shop.tritec-energy.com/de/eging-eg-405m54-hlv-bf-mc4-p2535/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/708748_eging_405w_black_frame.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/708748_eging_405w_black_frame.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,"EGING EGing EG-405M54-HLV BF, MC4 - TRITEC - Ihr Photovoltaik Grosshändler",,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/aeg-as-m1202b-h-370-black-mono-p2536/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
FOX ESS H1-3.0-E Wechselrichter 3kW mit 2 MPPT und WIFI,,,,,,https://shop.tritec-energy.com/de/fox-ess-h1-3-0-e-3kw-230v-ac-2-mppt-wifi-p2539/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/789204_foxess_h1-4.6-e.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/789204_foxess_h1-4.6-e.jpg|https://img.youtube.com/vi/758utQft4uA/default.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/411544_foxess_single_phase_meter_30_803_00002_01_chint_dsu666_9cbe.png|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/902943_dtsu666_80a.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,FOX-ESS H1-3.0-E Wechselrichter 3kW mit 2 MPPT und WIFI - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
"FOX ESS Wechselrichter T10-G3, inkl. WiFi Dongle",,,,,,https://shop.tritec-energy.com/de/fox-ess-wechselrichter-t10-g3-inkl-wifi-dongle-p2540/,nden,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,https://shop.tritec-energy.com/userdata/dcshop/images/thumb_3/321750_foxess_tx.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_1/321750_foxess_tx.jpg|https://shop.tritec-energy.com/userdata/dcshop/images/thumb_2/619557_foxess_smart_wifi_usb.jpg|https://shop.tritec-energy.com/layout/frontend/tritec-b2b/src/images/newsletter-grafik.svg,,,,FOX-ESS Wechselrichter T10-G3 mit integriertem Wifi Dongle - TRITEC - Ihr Photovoltaik Grosshändler,,de,valid_product,login_required
404,,,,,,https://shop.tritec-energy.com/de/aiko-neostar-2s2b-a-mah54db-450w-fb-dual-glass-s2-p2541/,,,,,,,,,,,,,,,,,,price_not_visible,EUR,stock_not_visible,,,,,,404,,de,valid_product,login_required
